id,parent,label,value,color
clk_gating_i_19,i_clk_gate_18,Clk Gating,18.768,blue
gen_gpios_26__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_19,gen_gpios_26__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_20,i_clk_gate_19,Clk Gating,18.768,blue
gen_gpios_27__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_20,gen_gpios_27__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_21,i_clk_gate_20,Clk Gating,18.768,blue
gen_gpios_28__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_21,gen_gpios_28__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_22,i_clk_gate_21,Clk Gating,18.768,blue
gen_gpios_29__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_22,gen_gpios_29__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_23,i_clk_gate_22,Clk Gating,18.768,blue
gen_gpios_2__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_23,gen_gpios_2__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_24,i_clk_gate_23,Clk Gating,18.768,blue
i_sync_3,gen_gpios_2__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_30__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_24,gen_gpios_30__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_25,i_clk_gate_24,Clk Gating,18.768,blue
gen_gpios_31__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_25,gen_gpios_31__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_26,i_clk_gate_25,Clk Gating,18.768,blue
gen_gpios_3__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_26,gen_gpios_3__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_27,i_clk_gate_26,Clk Gating,18.768,blue
i_sync_4,gen_gpios_3__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_4__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_27,gen_gpios_4__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_28,i_clk_gate_27,Clk Gating,18.768,blue
i_sync_5,gen_gpios_4__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_5__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_28,gen_gpios_5__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_29,i_clk_gate_28,Clk Gating,18.768,blue
i_sync_6,gen_gpios_5__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_6__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_29,gen_gpios_6__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_30,i_clk_gate_29,Clk Gating,18.768,blue
i_sync_7,gen_gpios_6__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_7__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_30,gen_gpios_7__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_31,i_clk_gate_30,Clk Gating,18.768,blue
i_sync_8,gen_gpios_7__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_8__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_31,gen_gpios_8__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_32,i_clk_gate_31,Clk Gating,18.768,blue
gen_gpios_9__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_32,gen_gpios_9__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_33,i_clk_gate_32,Clk Gating,18.768,blue
i_reg_file_1,gpio_ao_i,I Reg File,33283.171,blue
u_cfg_glbl_intrpt_mode_1,i_reg_file_1,Cfg Glbl Intrpt Mode,76.3232,blue
wr_en_data_arb_29,u_cfg_glbl_intrpt_mode_1,Wr En Data Arb,6.256,blue
u_cfg_pin_lvl_intrpt_mode_1,i_reg_file_1,Cfg Pin Lvl Intrpt Mode,76.3232,blue
wr_en_data_arb_30,u_cfg_pin_lvl_intrpt_mode_1,Wr En Data Arb,6.256,blue
u_cfg_reserved_1,i_reg_file_1,Cfg Reserved,76.3232,blue
wr_en_data_arb_31,u_cfg_reserved_1,Wr En Data Arb,6.256,blue
u_gpio_clear_gpio_clear_0_1,i_reg_file_1,Gpio Clear Gpio Clear 0,0.0,blue
u_gpio_clear_gpio_clear_1_1,i_reg_file_1,Gpio Clear Gpio Clear 1,0.0,blue
u_gpio_clear_gpio_clear_10_1,i_reg_file_1,Gpio Clear Gpio Clear 10,0.0,blue
u_gpio_clear_gpio_clear_11_1,i_reg_file_1,Gpio Clear Gpio Clear 11,0.0,blue
u_gpio_clear_gpio_clear_12_1,i_reg_file_1,Gpio Clear Gpio Clear 12,0.0,blue
u_gpio_clear_gpio_clear_13_1,i_reg_file_1,Gpio Clear Gpio Clear 13,0.0,blue
u_gpio_clear_gpio_clear_14_1,i_reg_file_1,Gpio Clear Gpio Clear 14,0.0,blue
u_gpio_clear_gpio_clear_15_1,i_reg_file_1,Gpio Clear Gpio Clear 15,0.0,blue
u_gpio_clear_gpio_clear_16_1,i_reg_file_1,Gpio Clear Gpio Clear 16,0.0,blue
u_gpio_clear_gpio_clear_17_1,i_reg_file_1,Gpio Clear Gpio Clear 17,0.0,blue
u_gpio_clear_gpio_clear_18_1,i_reg_file_1,Gpio Clear Gpio Clear 18,0.0,blue
u_gpio_clear_gpio_clear_19_1,i_reg_file_1,Gpio Clear Gpio Clear 19,0.0,blue
u_gpio_clear_gpio_clear_2_1,i_reg_file_1,Gpio Clear Gpio Clear 2,0.0,blue
u_gpio_clear_gpio_clear_20_1,i_reg_file_1,Gpio Clear Gpio Clear 20,0.0,blue
u_gpio_clear_gpio_clear_21_1,i_reg_file_1,Gpio Clear Gpio Clear 21,0.0,blue
u_gpio_clear_gpio_clear_22_1,i_reg_file_1,Gpio Clear Gpio Clear 22,0.0,blue
u_gpio_clear_gpio_clear_23_1,i_reg_file_1,Gpio Clear Gpio Clear 23,0.0,blue
u_gpio_clear_gpio_clear_24_1,i_reg_file_1,Gpio Clear Gpio Clear 24,0.0,blue
u_gpio_clear_gpio_clear_25_1,i_reg_file_1,Gpio Clear Gpio Clear 25,0.0,blue
u_gpio_clear_gpio_clear_26_1,i_reg_file_1,Gpio Clear Gpio Clear 26,0.0,blue
u_gpio_clear_gpio_clear_27_1,i_reg_file_1,Gpio Clear Gpio Clear 27,0.0,blue
u_gpio_clear_gpio_clear_28_1,i_reg_file_1,Gpio Clear Gpio Clear 28,0.0,blue
u_gpio_clear_gpio_clear_29_1,i_reg_file_1,Gpio Clear Gpio Clear 29,0.0,blue
u_gpio_clear_gpio_clear_3_1,i_reg_file_1,Gpio Clear Gpio Clear 3,0.0,blue
u_gpio_clear_gpio_clear_30_1,i_reg_file_1,Gpio Clear Gpio Clear 30,0.0,blue
u_gpio_clear_gpio_clear_31_1,i_reg_file_1,Gpio Clear Gpio Clear 31,0.0,blue
u_gpio_clear_gpio_clear_4_1,i_reg_file_1,Gpio Clear Gpio Clear 4,0.0,blue
u_gpio_clear_gpio_clear_5_1,i_reg_file_1,Gpio Clear Gpio Clear 5,0.0,blue
u_gpio_clear_gpio_clear_6_1,i_reg_file_1,Gpio Clear Gpio Clear 6,0.0,blue
u_gpio_clear_gpio_clear_7_1,i_reg_file_1,Gpio Clear Gpio Clear 7,0.0,blue
u_gpio_clear_gpio_clear_8_1,i_reg_file_1,Gpio Clear Gpio Clear 8,0.0,blue
u_gpio_clear_gpio_clear_9_1,i_reg_file_1,Gpio Clear Gpio Clear 9,0.0,blue
u_gpio_en_gpio_en_0_1,i_reg_file_1,Gpio En Gpio En 0,76.3232,blue
wr_en_data_arb_32,u_gpio_en_gpio_en_0_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_1_1,i_reg_file_1,Gpio En Gpio En 1,76.3232,blue
wr_en_data_arb_33,u_gpio_en_gpio_en_1_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_10_1,i_reg_file_1,Gpio En Gpio En 10,76.3232,blue
wr_en_data_arb_34,u_gpio_en_gpio_en_10_1,Wr En Data Arb,6.256,blue
u_gpio_en_gpio_en_11_1,i_reg_file_1,Gpio En Gpio En 11,76.3232,blue
